iter	Passed	Remaining
0	4	452
1	8	413
2	13	443
3	19	456
4	31	600
5	35	559
6	40	534
7	52	608
8	57	585
9	62	566
10	68	552
11	72	530
12	78	523
13	88	541
14	92	524
15	104	546
16	111	542
17	115	527
18	127	542
19	132	528
20	136	515
21	141	501
22	145	485
23	147	467
24	149	448
25	153	435
26	154	418
27	156	402
28	158	388
29	160	374
30	164	365
31	166	352
32	167	340
33	169	329
34	171	318
35	175	312
36	177	302
37	178	291
38	181	283
39	182	274
40	187	269
41	188	260
42	190	252
43	192	244
44	193	236
45	198	233
46	200	226
47	202	219
48	204	212
49	206	206
50	210	201
51	212	196
52	214	189
53	215	183
54	218	178
55	222	174
56	224	168
57	225	163
58	228	158
59	229	153
60	233	149
61	235	144
62	237	139
63	238	134
64	241	129
65	243	125
66	246	121
67	248	116
68	250	112
69	252	108
70	257	105
71	259	100
72	261	96
73	263	92
74	264	88
75	270	85
76	272	81
77	276	77
78	278	73
79	284	71
80	289	67
81	291	63
82	294	60
83	296	56
84	298	52
85	300	48
86	301	45
87	306	41
88	308	38
89	310	34
90	312	30
91	314	27
92	319	24
93	321	20
94	322	16
95	324	13
96	326	10
97	329	6
98	332	3
99	333	0
